"sub_agency_abbrev","languages","count"
"BLM","R",1
"BOR","Python",5
"BOR","C",1
"BOR","C++",1
"EPA","R",98
"EPA","Python",85
"EPA","TypeScript",14
"EPA","C",7
"EPA","C#",7
"FS","R",2
"FS","Python",2
"FS","TypeScript",2
"FS","C",1
"FS","C++",1
"FWS","R",14
"FWS","C++",1
"FWS","Rez",1
"NOAA","Python",193
"NOAA","Fortran",147
"NOAA","C",83
"NOAA","C++",69
"NOAA","R",52
"NPS","R",31
"NPS","Python",7
"NPS","TypeScript",1
"NPS","Rez",1
"NRCS","Python",4
"NRCS","XSLT",1
"USACE","Go",22
"USACE","Python",9
"USACE","Java",6
"USACE","C#",2
"USACE","PLpgSQL",2
"USGS","Python",20
"USGS","Java",13
"USGS","C",7
"USGS","C++",5
"USGS","R",4
"EPA","Other",60
"FS","Other",1
"NOAA","Other",344
"USACE","Other",2
"USGS","Other",18
