"repo_url","description","languages","num_commits","first_commit_date","last_commit_date","num_contributors","contributor_usernames","agency","organization"
"https://github.com/NOAA-GLERL/GLRRM","Great Lakes Regulation and Routing Model (data handler only)","Python",17,"2018-05-15T14:16:03Z","2018-12-03T19:42:12Z",1,"tim-hunter","National Oceanic and Atmospheric Administration","NOAA-GLERL"
"https://github.com/NOAA-GLERL/GLSHFS","Great Lakes Seasonal Hydrology Forecasting System","Fortran, Python, C++, Makefile, R, Batchfile, Shell",20,"2018-07-25T17:37:26Z","2024-11-27T22:01:07Z",3,"tim-hunter, brotherJ4mes, laceymason","National Oceanic and Atmospheric Administration","NOAA-GLERL"
"https://github.com/NOAA-GLERL/L2SWBM","Large Lake Statistical Water Balance Model as applied to the Laurentian Great Lakes","R",33,"2019-04-04T21:04:17Z","2022-06-03T19:13:51Z",2,"laceymason, joeseph-smith-NOAA-GLERL-CIGLR","National Oceanic and Atmospheric Administration","NOAA-GLERL"
"https://github.com/NOAA-GLERL/icegridresampling","Scripts used to convert historical ice cover 510 x 516 grids to 1024 x 1024 grids.","R, MATLAB, Python",6,"2020-01-29T22:06:20Z","2020-06-22T14:00:50Z",1,"laceymason","National Oceanic and Atmospheric Administration","NOAA-GLERL"
"https://github.com/NOAA-GLERL/gllbrm-boundaries","Great Lakes region basin and subbasin boundaries for the Large Basin Runoff Model (LBRM) developed by the NOAA Great Lakes Environmental Research Laboratory",NA,11,"2021-06-04T15:28:22Z","2021-06-04T15:34:43Z",1,"laceymason","National Oceanic and Atmospheric Administration","NOAA-GLERL"
"https://github.com/NOAA-GLERL/wrfhydro_scripts",NA,"Python, R, Shell",3,"2021-06-25T20:27:21Z","2021-06-29T16:39:22Z",NA,NA,"National Oceanic and Atmospheric Administration","NOAA-GLERL"
"https://github.com/NOAA-GLERL/LBRM","Stand-alone Large Basin Runoff Model","Fortran, C++, Makefile",8,"2022-08-30T18:34:04Z","2024-08-19T15:42:28Z",1,"brotherJ4mes","National Oceanic and Atmospheric Administration","NOAA-GLERL"
"https://github.com/NOAA-GLERL/NOAA-GLERL.github.io",NA,"HTML",68,"2022-11-07T14:42:22Z","2023-05-23T20:15:01Z",1,"laceymason","National Oceanic and Atmospheric Administration","NOAA-GLERL"
"https://github.com/NOAA-GLERL/LLTM","standalone Large Lake Thermodynamic Model","Fortran, C++, Makefile",10,"2023-03-13T15:11:38Z","2023-04-04T15:37:48Z",NA,NA,"National Oceanic and Atmospheric Administration","NOAA-GLERL"
"https://github.com/NOAA-GLERL/CLM-Lake-offline","tools and processed lake-wide data for CLM-Lake offline runs ","R",9,"2024-05-31T20:25:21Z","2024-10-17T14:15:08Z",1,"brotherJ4mes","National Oceanic and Atmospheric Administration","NOAA-GLERL"
"https://github.com/NOAA-GLERL/SCHISM_grid_utils","tools and utilities for visualizing SCHISM output via geo-referenced objects","R, Python",9,"2024-11-22T23:24:57Z","2024-11-25T14:05:53Z",1,"brotherJ4mes","National Oceanic and Atmospheric Administration","NOAA-GLERL"
