"repo_url","description","languages","num_commits","first_commit_date","last_commit_date","num_contributors","contributor_usernames","agency","organization"
"https://github.com/NOAA-SWPC/legacy_ipe",NA,"Fortran, IDL, Prolog, Ruby, Shell, Makefile, Perl, Objective-C, C++, Pascal",446,"2012-04-02T17:15:20Z","2017-09-05T18:52:43Z",5,"joeschoonover, gmillward, twfang, middlecoff, theurich","National Oceanic and Atmospheric Administration","NOAA-SWPC"
"https://github.com/NOAA-SWPC/ipe_cap","wrapper for the ipe to interface with wam-ipe","Fortran, Makefile",6,"2017-08-15T19:44:24Z","2017-09-05T18:54:33Z",1,"joeschoonover","National Oceanic and Atmospheric Administration","NOAA-SWPC"
"https://github.com/NOAA-SWPC/RegressionTesting_WAM-IPE","Tools for regression testing of WAM-IPE","Shell",2,"2017-10-05T15:58:59Z","2017-10-17T22:44:31Z",1,"joeschoonover","National Oceanic and Atmospheric Administration","NOAA-SWPC"
"https://github.com/NOAA-SWPC/msise00","NRL MSISE-00 atmospheric model-- in Python and Matlab!","Fortran, Python, MATLAB, Makefile",132,"2015-03-27T06:53:11Z","2018-01-01T21:34:28Z",1,"scivision","National Oceanic and Atmospheric Administration","NOAA-SWPC"
"https://github.com/NOAA-SWPC/fprettify","auto-formatter for modern fortran source code","Python, Fortran, Shell",202,"2016-08-26T20:01:03Z","2017-04-21T12:23:35Z",4,"pseewald, dbroemmel, dev-zero, quantifiedcode-bot","National Oceanic and Atmospheric Administration","NOAA-SWPC"
"https://github.com/NOAA-SWPC/FortranReformat","Simple script built around fprettify to automate enforcement of code formatting standards for our projects","Shell",9,"2018-01-26T20:29:03Z","2018-01-27T18:07:16Z",1,"joeschoonover","National Oceanic and Atmospheric Administration","NOAA-SWPC"
"https://github.com/NOAA-SWPC/lib",NA,"C, Fortran, Objective-C, Gnuplot, Shell, TeX, Makefile, C++, Python, M4",226,"2015-10-15T20:06:27Z","2018-01-31T19:23:26Z",1,"pa345","National Oceanic and Atmospheric Administration","NOAA-SWPC"
"https://github.com/NOAA-SWPC/davitpy","The DaViT Python project","Fortran, Python, C, Shell, Makefile, C++",2238,"2012-06-08T09:16:04Z","2018-03-02T14:22:57Z",15,"ajribeiro, sdelarquier, ksterne, asreimer, mrwessel, MuhammadVT, aburrell, bharatreddy, Shirling-VT, cmeeren, paalge, salsrag, vt-sd-davit, w2naf, usuthu65","National Oceanic and Atmospheric Administration","NOAA-SWPC"
"https://github.com/NOAA-SWPC/IPE-Testing",NA,"Python, Shell",4,"2019-01-30T14:49:34Z","2019-02-01T00:07:14Z",1,"fluidnumerics-joe","National Oceanic and Atmospheric Administration","NOAA-SWPC"
"https://github.com/NOAA-SWPC/WAM","Whole Atmosphere Model extension of the GFS","Fortran, Makefile, M4, Shell, C, C++",93,"2019-10-04T18:43:02Z","2024-07-09T19:50:05Z",5,"akubaryk, rmontuoro, ZhuxiaoLi66, greglucas, BrianCurtis-NOAA","National Oceanic and Atmospheric Administration","NOAA-SWPC"
"https://github.com/NOAA-SWPC/IPE","Ionosphere Plasmasphere Electrodynamics Model","Fortran, Makefile, Shell, M4, Python",165,"2019-10-04T19:06:07Z","2024-09-24T01:00:18Z",7,"akubaryk, rmontuoro, twfang, gmillward, ZhuxiaoLi66, BrianCurtis-NOAA, greglucas","National Oceanic and Atmospheric Administration","NOAA-SWPC"
"https://github.com/NOAA-SWPC/GSMWAM-IPE","Coupled NEMS app for WAM-IPE","Shell, Python, Gnuplot, Lua, Odin, C, Makefile",338,"2019-10-04T20:48:53Z","2024-09-24T21:52:01Z",6,"akubaryk, rmontuoro, BrianCurtis-NOAA, twfang, gmillward, ZhuxiaoLi66","National Oceanic and Atmospheric Administration","NOAA-SWPC"
"https://github.com/NOAA-SWPC/NEMS","NEMS (NOAA Environmental Modeling System)","Fortran, Makefile, Python, Shell, HTML, Perl, JavaScript, BitBake, C, CSS, Filebench WML",107,"2017-10-19T19:35:13Z","2024-11-29T17:42:23Z",12,"rmontuoro, akubaryk, SamuelTrahanNOAA, RatkoVasic-NOAA, DeniseWorthen, BrianCurtis-NOAA, DomHeinzeller, DusanJovic-NOAA, theurich, mark-a-potts, JessicaMeixner-NOAA, valbonakunkel-noaa","National Oceanic and Atmospheric Administration","NOAA-SWPC"
"https://github.com/NOAA-SWPC/DATAPOLL","SWPC component to poll for updates to realtime input parameters","Shell, Makefile, M4, Fortran",6,"2020-04-17T21:54:17Z","2023-04-25T18:33:29Z",3,"rmontuoro, akubaryk, BrianCurtis-NOAA","National Oceanic and Atmospheric Administration","NOAA-SWPC"
"https://github.com/NOAA-SWPC/parallel-workflow","repository for legacy EMC parallel scripts to run WAM-IPE cycled with data assimilation","Fortran, Shell, Makefile, Perl, HTML, Awk",1,"2019-12-17T20:52:22Z","2019-12-17T20:52:22Z",NA,NA,"National Oceanic and Atmospheric Administration","NOAA-SWPC"
"https://github.com/NOAA-SWPC/wam-ipe_workflow","Global Superstructure/Workflow currently supporting the Finite-Volume on a Cubed-Sphere Global Forecast System (FV3GFS)","Shell, Python, C++, Roff, Perl",1165,"2016-10-18T20:24:13Z","2022-03-08T18:09:51Z",20,"yangfanglin, GeorgeGayno-NOAA, RussTreadon-NOAA, KateFriedman-NOAA, akubaryk, BoiVuong-NOAA, jswhit2, aerorahul, SamuelTrahanNOAA, pjpegion, malloryprow, EdwardSafford-NOAA, junwang-noaa, lgannoaa, Hang-Lei-NOAA, mark-a-potts, bensonr, SMoorthi-emc, XuLi-NOAA, GuangPingLou-NOAA","National Oceanic and Atmospheric Administration","NOAA-SWPC"
"https://github.com/NOAA-SWPC/COMIO","COMmon I/O layer","Fortran, Shell, Makefile, M4, C",56,"2020-01-30T16:35:25Z","2021-10-01T23:52:59Z",3,"rmontuoro, akubaryk, greglucas","National Oceanic and Atmospheric Administration","NOAA-SWPC"
"https://github.com/NOAA-SWPC/SWIO","I/O Component for Space Weather Applications","Fortran, Makefile, Shell, M4",45,"2020-01-30T16:37:12Z","2024-07-09T19:50:39Z",3,"rmontuoro, akubaryk, BrianCurtis-NOAA","National Oceanic and Atmospheric Administration","NOAA-SWPC"
"https://github.com/NOAA-SWPC/IPE-grid-gen","Grid generation software for IPE.","Fortran, Makefile, C++, Shell",3,"2020-02-10T22:24:38Z","2020-08-20T02:24:12Z",2,"akubaryk, twfang","National Oceanic and Atmospheric Administration","NOAA-SWPC"
"https://github.com/NOAA-SWPC/flip","Field Line Interhemispheric Plasma model","Fortran, Makefile",5,"2020-03-11T22:29:37Z","2020-03-11T22:39:31Z",1,"akubaryk","National Oceanic and Atmospheric Administration","NOAA-SWPC"
