"sub_agency","total_funding","benchmark","repo_commits_6m","num_commits","num_contributors","num_repos","per_repos_commits_6m","repo_per_million"
"Bureau of Land Management",144.636178,0,2,17,4,3,0.666666666666667,0.0207416985258004
"Bureau of Reclamation",165.392578,0,2,990,26,7,0.285714285714286,0.0423235436840461
"Department of Homeland Security",16390.191,1,6,711,19,13,0.461538461538462,0.000793157321961654
"Department of Labor",1334.221921,1,2,4273,67,15,0.133333333333333,0.0112425075348466
"Department of State",4604.362918,1,NA,NA,NA,NA,NA,NA
"Department of Transportation",10372.849693,1,NA,NA,NA,NA,NA,NA
"Environmental Protection Agency",813.621676,0,155,106462,1203,348,0.445402298850575,0.427717218291023
"Forest Service",1585.635,0,4,13194,50,7,0.571428571428571,0.00441463514617172
"National Aeronautics and Space Administration",6059.4937,1,153,109892,1798,311,0.491961414790997,0.0513244200583953
"National Institutes of Health",2393.394,1,NA,NA,NA,NA,NA,NA
"National Oceanic and Atmospheric Administration",1604.361127,0,248,300607,4953,570,0.435087719298246,0.355281607368439
"National Park Service",137.020488,0,17,9297,157,54,0.314814814814815,0.394101647047119
"Natural Resources Conservation Service",562.419,0,1,25,4,2,0.5,0.00355606762929417
"U.S. Fish and Wildlife Service",114.924007,0,22,6454,51,33,0.666666666666667,0.287146270491595
"U.S. Geological Survey",809.014177,0,4,35826,264,44,0.0909090909090909,0.0543871804115492
"U.S. Army Corps of Engineers",496.973361999999,0,18,6566,205,60,0.3,0.120730816956745
